article,url,uuid,extension
axe-bahia,/15633/20201226003916im_/https://www.artpractical.com/uploads/features/_1246_1246/Image4_InstallCatherine.jpg,0a8860ce-4500-49bc-9b9d-8f91d832bdaa,jpg
axe-bahia,/15633/20201226003916im_/https://www.artpractical.com/uploads/columns/_194_109/01_Gonzalez.jpg,6f00ccc3-d338-4ada-8143-332d092f1a55,jpg
axe-bahia,/15633/20201226003916im_/https://www.artpractical.com/uploads/features/_194_109/PosadaGilda_Image3_cropped2.jpg,6648d9e8-c624-4cee-bccd-ce4bf51af0d3,jpg
axe-bahia,/15633/20201226003916im_/https://www.artpractical.com/uploads/columns/_194_109/wayla_logo_02.jpg,45f9d0db-e853-4ec8-95be-8d4cae58f5d3,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/uploads/2016/05/logo-a-2-ver2.jpg,9efc4671-7788-48db-bb4b-6f5460e90938,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/about-a.jpg,b1591d1d-dac1-43ab-b9fb-1ae4755ddf15,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/contributors-a.jpg,c43fe336-b85d-4ff6-8090-225b6e18e4bc,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/partners-a.jpg,f30b2455-fe01-48d9-bb2e-3860d55ba066,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/sponsor-a.jpg,256cea5d-c36d-4631-9aff-3f2a6e097b64,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/submit-a.jpg,800ebaba-137f-4895-ac19-f7d34746c639,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/facebook-a.jpg,e56f40a2-b93a-4c32-9c51-5aeb28ae588c,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/rss-a.jpg,68e6b25f-2c63-47fd-a33e-2bed9206c06c,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/twitter-a.jpg,02aef7ad-8259-4d74-aac4-e5f6ac413da5,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/uploads/2015/04/On-Kawara-Silence-exh_ph101.jpg,d46e8fca-5b81-47d2-8faa-38e9992d6d24,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/uploads/2015/04/OnKawara_DEC29.jpg,e1eda9f8-57d0-4b0a-b9cf-e1dff2d932cd,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/uploads/2015/04/OnKawara_May20.jpg,fe078862-ae4f-4dd1-973b-0f53910998a4,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/uploads/2015/04/IGOTUP_APR1.jpg,28137405-3752-4516-956d-c2c1f1461801,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/uploads/2015/04/OnKawara_IRead.jpg,6f481a9c-4074-4c73-b097-d02207eec3f4,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/uploads/2015/04/On-Kawara-Silence-exh_ph064.jpg,e93dad4e-0037-4899-b45f-734ac4d5966a,jpg
on-kawara,https://wayback.archive-it.org/15633/20201225141733im_/http://www.dailyserving.com/wp-content/themes/cameron/images/share-button.jpg,a1a5a9b4-680e-4eba-a4ef-f599364dda37,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/themes/cameron/images/series/help-a.jpg,bb0d7853-4a71-4aec-a8b2-f82c7a0e66a9,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/themes/cameron/images/series/hash-a.jpg,1a7c1888-a155-42a7-acba-9cdb05a1c08f,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/themes/cameron/images/series/fan-a.jpg,fb7c8792-bcff-411a-bbdd-a36dadcf619b,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/themes/cameron/images/series/inter-a.jpg,06fa01b5-9282-4d84-8cc0-ac27328f1676,jpg
on-kawara,/15633/20201225141733im_/https://www.dailyserving.com/wp-content/uploads/2013/04/LA-a-2.jpg,247fb0df-6b2a-4248-ba6b-78a602f01cab,jpg
schoolhouse-bus,https://wayback.archive-it.org/15633/20201226025722im_/https://www.artpractical.com/assets/images/logo.png,d248590c-7f59-4b27-81bf-fb4f82d14a25,png
schoolhouse-bus,/images/schoolhouse-bus/Image6-Schoolhouse___the_Bus_030.jpg,6b2fe1ce-0979-48d9-907d-cf4a74afe027,n/a
schoolhouse-bus,/images/schoolhouse-bus/Image1-Schoolhouse___the_Bus_010.jpg,9824df87-a274-4a9c-a422-0243475d8200,n/a
schoolhouse-bus,/images/schoolhouse-bus/Image2-Schoolhouse___the_Bus_007.jpg,beefb5cc-f849-4baf-b735-ca96ba351e5a,n/a
schoolhouse-bus,/images/schoolhouse-bus/Image3-Schoolhouse-and-Bus.jpg,f0e2659a-0a69-400b-a903-32e0f803d202,n/a
schoolhouse-bus,/images/schoolhouse-bus/Image4-Schoolhouse___the_Bus_071.jpg,54785d4d-2e49-48bc-bf55-11eb313d83a5,n/a
schoolhouse-bus,/images/schoolhouse-bus/Image5-Schoolhouse___the_Bus_074.jpg,dccb9685-559d-4379-b1dc-0cfd1a722f94,n/a
schoolhouse-bus,/15633/20201226025722im_/https://www.artpractical.com/uploads/features/_194_109/still_image013.jpg,d1edb4f3-4d2c-44a5-a88c-1b16db5aefa9,jpg
schoolhouse-bus,/15633/20201226025722im_/https://www.artpractical.com/uploads/features/_194_109/PosadaGilda_Image3_cropped2.jpg,e8ba6786-83cc-465e-a81b-6a0701f75b40,jpg
schoolhouse-bus,/15633/20201226025722im_/https://www.artpractical.com/uploads/features/_194_109/CAMILLE_Rebuild.jpg,af9535da-c3c0-47a3-9172-1438a133bf7d,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/uploads/2016/05/logo-a-2-ver2.jpg,2c6e4394-5c96-46e9-8129-0b4c0b8d45ff,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/about-a.jpg,a6e4498c-58f9-4e2d-a66a-984d92d14405,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/contributors-a.jpg,99715430-0d05-49e3-9adc-dae3e3e1e27b,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/partners-a.jpg,a70d0bb5-823c-4d28-a397-07d564571dc0,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/sponsor-a.jpg,a73d469b-bfee-4d6a-b871-e5aefb83c33e,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/submit-a.jpg,cb4394ee-46f7-4229-a7b9-dbb604d1763f,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/facebook-a.jpg,2a446d43-ea95-4996-b72b-3c53d7568d57,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/rss-a.jpg,6826b6b1-e1c6-4dab-aa1e-d030b6be499f,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/twitter-a.jpg,80391cb5-c31e-4430-ad28-8f19c9a15f78,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/uploads/2015/09/Taca-Tomb-600pw-copy.jpg,ce806151-535b-445d-8c76-d4e6bbd945c5,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/uploads/2015/09/Taca-Feilei-600pw-copy.jpg,e5d43fe0-a797-4b55-9ad9-0c570604f291,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/uploads/2015/09/Taca-Baofu-Spring-600pw-copy.jpg,430cbe8e-a945-4913-ae7c-ca4a561bf5db,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/uploads/2015/09/Taca-Steles-detail-600pw-copy.jpg,1daae7f6-f295-4043-97af-be4c359b384a,jpg
taca-sui,https://wayback.archive-it.org/15633/20201225142228im_/http://www.dailyserving.com/wp-content/themes/cameron/images/share-button.jpg,c0ee85c7-62fb-4c93-a26f-e7c59d26e0ff,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/themes/cameron/images/series/help-a.jpg,f5457cd5-3ec8-43b9-80ac-d4bb4d838b67,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/themes/cameron/images/series/hash-a.jpg,d0fc7f92-5692-4574-a605-5191c9bcfdfe,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/themes/cameron/images/series/fan-a.jpg,c06b028d-7a7d-4058-8b17-1eb3b1b7e5ae,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/themes/cameron/images/series/inter-a.jpg,0cae1f18-c828-417b-8d2e-5edf5a3fc25a,jpg
taca-sui,/15633/20201225142228im_/https://www.dailyserving.com/wp-content/uploads/2013/04/LA-a-2.jpg,1dc7f713-a492-4dbf-b74b-76845e0bcf59,jpg
made-in-taiwan,/15633/20201225200616im_/https://www.dailyserving.com/wp-content/uploads/2016/05/logo-a-2-ver2.jpg,4b7f6dd8-4025-454c-9fb6-b4168f82936a,jpg
made-in-taiwan,/15633/20201225200616im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/about-a.jpg,33511650-1ca8-4c81-94ac-c18308ba72c9,jpg
made-in-taiwan,/15633/20201225200616im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/contributors-a.jpg,a82c48b3-bc66-42da-84e5-b6a916e68edc,jpg
made-in-taiwan,/15633/20201225200616im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/partners-a.jpg,31f1fe1d-4168-40f3-a760-339aa1b2b924,jpg
made-in-taiwan,/15633/20201225200616im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/sponsor-a.jpg,a862a95c-02ff-4ed8-b2df-df4df3fb0abc,jpg
made-in-taiwan,/15633/20201225200616im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/submit-a.jpg,10f677e4-6079-49aa-8cc7-53d3d97e1237,jpg
made-in-taiwan,/15633/20201225200616im_/https://www.dailyserving.com/wp-content/themes/cameron/images/nav/facebook-a.jpg,036e52f1-81c0-4170-a214-9a5e9d49cb47,jpg
